variant,family,condition,successes,n,rate,status,missing_episodes
recurrent-ttt-context,MoveCube,no-history,17,50,0.34,complete,
recurrent-ttt-context,MoveCube,k0,14,50,0.28,complete,
recurrent-ttt-context,MoveCube,k1,15,50,0.3,complete,
recurrent-ttt-context,MoveCube,k3,17,50,0.34,complete,
recurrent-ttt-context,MoveCube,k7,15,50,0.3,complete,
recurrent-ttt-context,RouteStick,no-history,3,50,0.06,complete,
recurrent-ttt-context,RouteStick,k0,3,50,0.06,complete,
recurrent-ttt-context,RouteStick,k1,2,50,0.04,complete,
recurrent-ttt-context,RouteStick,k3,0,50,0.0,complete,
recurrent-ttt-context,RouteStick,k7,4,50,0.08,complete,
recurrent-ttt-context,VideoUnmask,no-history,15,50,0.3,complete,
recurrent-ttt-context,VideoUnmask,k0,16,50,0.32,complete,
recurrent-ttt-context,VideoUnmask,k1,15,50,0.3,complete,
recurrent-ttt-context,VideoUnmask,k3,15,50,0.3,complete,
recurrent-ttt-context,VideoUnmask,k7,15,50,0.3,complete,
recurrent-ttt-context,VideoUnmaskSwap,no-history,9,50,0.18,complete,
recurrent-ttt-context,VideoUnmaskSwap,k0,10,50,0.2,complete,
recurrent-ttt-context,VideoUnmaskSwap,k1,10,50,0.2,complete,
recurrent-ttt-context,VideoUnmaskSwap,k3,10,50,0.2,complete,
recurrent-ttt-context,VideoUnmaskSwap,k7,9,50,0.18,complete,
recurrent-ttt-context,VideoRepick,no-history,6,50,0.12,complete,
recurrent-ttt-context,VideoRepick,k0,2,50,0.04,complete,
recurrent-ttt-context,VideoRepick,k1,1,50,0.02,complete,
recurrent-ttt-context,VideoRepick,k3,5,50,0.1,complete,
recurrent-ttt-context,VideoRepick,k7,3,50,0.06,complete,
recurrent-ttt-context,VideoPlaceButton,no-history,12,50,0.24,complete,
recurrent-ttt-context,VideoPlaceButton,k0,8,50,0.16,complete,
recurrent-ttt-context,VideoPlaceButton,k1,15,50,0.3,complete,
recurrent-ttt-context,VideoPlaceButton,k3,19,50,0.38,complete,
recurrent-ttt-context,VideoPlaceButton,k7,6,50,0.12,complete,
recurrent-ttt-context,VideoPlaceOrder,no-history,6,50,0.12,complete,
recurrent-ttt-context,VideoPlaceOrder,k0,8,50,0.16,complete,
